reportId,productId,serialNo,failureDate,location,failureMode,severity,reportedBy
R300000,P1011,SN400000,2024-10-16,Pune,brake_shim_wear,1,customer
R300002,P1033,SN400002,2023-08-21,Patna,noise_vibration,3,dealer
R300003,P1015,SN400003,2024-05-13,Nagpur,brake_shim_wear,3,customer
R300005,P1019,SN400005,2023-10-20,Hyderabad,overheating,2,customer
R300007,P1004,SN400007,2023-06-24,Chennai,sensor_failure,2,customer
R300008,P1011,SN400008,2024-06-28,Nagpur,brake_shim_wear,4,dealer
R300010,P1001,SN400010,2025-07-11,Hyderabad,pad_wear,2,customer
R300012,P1003,SN400012,2024-03-14,Bangalore,pad_wear,1,dealer
R300014,P1010,SN400014,2023-08-25,Kolkata,pad_wear,3,customer
R300015,P1044,SN400015,2025-04-25,Mumbai,leakage,3,dealer
R300016,P1005,SN400016,2024-10-02,Village_C,brake_shim_wear,5,dealer
R300017,P1053,SN400017,2023-07-25,Kolkata,sensor_failure,3,customer
R300018,P1041,SN400018,2025-06-23,Village_B,noise_vibration,2,customer
R300019,P1047,SN400019,2024-08-20,Kolkata,brake_shim_wear,2,customer
R300022,P1009,SN400022,2024-01-09,Village_A,sensor_failure,1,dealer
R300023,P1026,SN400023,2023-09-24,Hyderabad,sensor_failure,5,customer
R300024,P1032,SN400024,2023-07-19,Patna,noise_vibration,2,dealer
R300026,P1039,SN400026,2023-10-24,Chennai,noise_vibration,3,dealer
R300027,P1022,SN400027,2025-03-26,Chennai,pad_wear,4,dealer
R300028,P1022,SN400028,2024-01-24,Jaipur,brake_shim_wear,3,dealer
R300029,P1024,SN400029,2024-07-20,Village_C,leakage,4,customer
R300030,P1054,SN400030,2024-10-11,Delhi,overheating,2,customer
R300032,P1027,SN400032,2024-02-01,Delhi,pad_wear,3,customer
R300034,P1048,SN400034,2024-01-02,Indore,pad_wear,4,customer
R300036,P1044,SN400036,2023-08-10,Lucknow,overheating,4,customer
R300037,P1005,SN400037,2025-11-02,Mumbai,sensor_failure,4,customer
R300038,P1048,SN400038,2025-03-04,Bangalore,brake_shim_wear,5,customer
R300041,P1019,SN400041,2024-04-10,Ahmedabad,overheating,4,dealer
R300042,P1038,SN400042,2024-07-04,Village_A,brake_shim_wear,3,customer
R300045,P1020,SN400045,2024-03-29,Village_B,overheating,3,customer
R300046,P1001,SN400046,2024-11-12,Kolkata,leakage,4,customer
R300047,P1033,SN400047,2025-05-09,Ahmedabad,noise_vibration,4,dealer
R300049,P1040,SN400049,2023-10-02,Jaipur,leakage,3,customer
R300050,P1053,SN400050,2025-04-08,Village_B,sensor_failure,3,dealer
R300051,P1006,SN400051,2025-02-05,Delhi,overheating,5,dealer
R300052,P1042,SN400052,2025-03-08,Patna,leakage,5,dealer
R300053,P1035,SN400053,2023-08-12,Village_C,pad_wear,2,customer
R300054,P1015,SN400054,2023-11-02,Village_C,pad_wear,5,dealer
R300057,P1008,SN400057,2025-08-16,Pune,leakage,5,dealer
R300058,P1030,SN400058,2024-09-23,Kolkata,noise_vibration,3,customer
R300059,P1001,SN400059,2023-11-07,Indore,leakage,5,customer
R300061,P1026,SN400061,2023-06-25,Pune,pad_wear,2,dealer
R300063,P1004,SN400063,2024-06-20,Nagpur,pad_wear,4,dealer
R300064,P1039,SN400064,2024-11-07,Village_B,overheating,1,customer
R300066,P1000,SN400066,2024-01-31,Pune,brake_shim_wear,4,customer
R300067,P1017,SN400067,2025-06-07,Jaipur,pad_wear,2,dealer
R300069,P1025,SN400069,2025-04-20,Nagpur,sensor_failure,3,customer
R300072,P1051,SN400072,2024-12-02,Indore,overheating,3,dealer
R300073,P1057,SN400073,2023-07-30,Village_A,pad_wear,3,dealer
R300075,P1036,SN400075,2023-10-06,Indore,overheating,3,dealer
R300078,P1048,SN400078,2023-12-01,Delhi,overheating,4,customer
R300079,P1001,SN400079,2023-08-20,Delhi,overheating,3,dealer
R300080,P1015,SN400080,2024-12-26,Village_B,leakage,4,customer
R300082,P1037,SN400082,2024-12-05,Indore,brake_shim_wear,2,customer
R300083,P1056,SN400083,2025-04-14,Village_B,pad_wear,5,dealer
R300084,P1046,SN400084,2023-09-15,Bangalore,pad_wear,1,customer
R300085,P1011,SN400085,2025-05-04,Chennai,pad_wear,3,customer
R300086,P1037,SN400086,2023-10-30,Jaipur,overheating,3,dealer
R300087,P1048,SN400087,2024-03-20,Mumbai,overheating,4,dealer
R300088,P1011,SN400088,2024-03-12,Indore,sensor_failure,3,dealer
