orderId,productId,date,channel,qty,unitPrice,totalPrice
O500000,P1005,2024-06-01,dealer,5,2547.75,12738.75
O500001,P1037,2023-03-04,dealer,33,2188.84,72231.72
O500002,P1004,2023-06-24,online,15,534.39,8015.85
O500003,P1046,2023-09-12,dealer,14,4193.73,58712.22
O500004,P1039,2023-12-30,online,11,963.99,10603.89
O500005,P1046,2023-09-12,online,13,3870.53,50316.89
O500006,P1054,2024-06-29,dealer,24,2955.16,70923.84
O500007,P1043,2024-03-24,wholesale,40,1938.71,77548.4
O500010,P1029,2024-06-25,wholesale,82,4533.35,371734.7
O500011,P1049,2025-07-12,online,22,1641.68,36116.96
O500012,P1015,2023-02-02,wholesale,81,4158.25,336818.25
O500013,P1038,2025-09-23,dealer,26,3030.57,78794.82
O500014,P1051,2023-12-25,online,3,2033.32,6099.96
O500015,P1019,2025-08-08,dealer,24,3985.16,95643.84
O500016,P1036,2024-08-02,online,14,1035.51,14497.14
O500017,P1042,2024-09-13,dealer,10,2098.78,20987.8
O500018,P1003,2023-05-08,dealer,23,2217.91,51011.93
O500020,P1008,2025-02-13,online,29,4104.86,119040.94
O500021,P1053,2024-08-16,dealer,27,2233.78,60312.06
O500022,P1002,2025-07-22,dealer,32,4517.75,144568.0
O500023,P1006,2024-09-09,dealer,32,4380.78,140184.96
O500024,P1002,2023-06-26,dealer,13,4131.35,53707.55
O500025,P1045,2025-04-18,dealer,22,2678.57,58928.54
O500026,P1016,2023-07-05,dealer,22,1354.47,29798.34
O500027,P1035,2023-01-29,dealer,10,1502.4,15024.0
O500028,P1044,2024-02-08,dealer,23,3050.76,70167.48
O500029,P1050,2025-07-18,wholesale,39,1804.5,70375.5
O500030,P1038,2023-04-26,dealer,26,3065.61,79705.86
O500031,P1027,2025-07-30,dealer,51,4082.6,208212.6
O500032,P1008,2023-02-09,wholesale,37,3589.28,132803.36
O500033,P1022,2023-09-04,dealer,21,3325.16,69828.36
O500034,P1003,2023-03-14,dealer,16,2389.93,38238.88
O500035,P1036,2023-10-10,wholesale,25,1003.37,25084.25
O500036,P1055,2024-10-31,dealer,24,2776.87,66644.88
O500037,P1024,2025-04-15,dealer,6,1983.15,11898.9
O500038,P1043,2025-02-26,dealer,14,1849.55,25893.7
O500039,P1039,2023-08-05,wholesale,71,1015.57,72105.47
O500041,P1054,2024-02-10,online,25,2961.88,74047.0
O500042,P1030,2024-12-06,dealer,14,3585.71,50199.94
O500043,P1049,2024-07-01,dealer,15,1496.21,22443.15
O500044,P1033,2025-04-02,dealer,7,2129.57,14906.99
O500045,P1008,2025-02-17,online,16,3947.89,63166.24
O500046,P1010,2025-04-24,online,17,1806.1,30703.7
O500047,P1033,2024-02-19,dealer,7,2319.35,16235.45
O500048,P1004,2025-01-12,dealer,17,569.89,9688.13
O500049,P1051,2025-04-15,dealer,19,1731.95,32907.05
O500050,P1019,2025-02-19,wholesale,79,4429.86,349958.94
