reportId,productId,serialNo,failureDate,location,failureMode,severity,reportedBy
R300000,P1011,SN400000,2024-10-16,Pune,brake_shim_wear,1,customer
R300001,P1010,SN400001,2024-09-21,,brake_shim_wear,5,customer
R300002,P1033,SN400002,2023-08-21,Patna,noise_vibration,3,dealer
R300003,P1015,SN400003,2024-05-13,Nagpur,brake_shim_wear,3,customer
R300004,P1029,SN400004,2023-11-19,,leakage,3,customer
R300005,P1019,SN400005,2023-10-20,Hyderabad,overheating,2,customer
R300006,P1047,SN400006,2024-02-26,Village_C,noise_vibration,,dealer
R300007,P1004,SN400007,2023-06-24,Chennai,sensor_failure,2,customer
R300008,P1011,SN400008,2024-06-28,Nagpur,brake_shim_wear,4,dealer
R300009,P1058,SN400009,2023-10-28,Delhi,,4,customer
R300010,P1001,SN400010,2025-07-11,Hyderabad,pad_wear,2,customer
R300011,P1000,SN400011,2023-10-19,,pad_wear,2,dealer
R300012,P1003,SN400012,2024-03-14,Bangalore,pad_wear,1,dealer
R300013,P1029,SN400013,2024-01-02,Bangalore,leakage,3,
R300014,P1010,SN400014,2023-08-25,Kolkata,pad_wear,3,customer
R300015,P1044,SN400015,2025-04-25,Mumbai,leakage,3,dealer
R300016,P1005,SN400016,2024-10-02,Village_C,brake_shim_wear,5,dealer
R300017,P1053,SN400017,2023-07-25,Kolkata,sensor_failure,3,customer
R300018,P1041,SN400018,2025-06-23,Village_B,noise_vibration,2,customer
R300019,P1047,SN400019,2024-08-20,Kolkata,brake_shim_wear,2,customer
R300020,P1008,SN400020,2025-10-22,Village_B,noise_vibration,3,
R300021,P1037,SN400021,2024-09-05,Pune,,3,customer
R300022,P1009,SN400022,2024-01-09,Village_A,sensor_failure,1,dealer
R300023,P1026,SN400023,2023-09-24,Hyderabad,sensor_failure,5,customer
R300024,P1032,SN400024,2023-07-19,Patna,noise_vibration,2,dealer
R300025,P1007,SN400025,2023-08-07,Chennai,,4,dealer
R300026,P1039,SN400026,2023-10-24,Chennai,noise_vibration,3,dealer
R300027,P1022,SN400027,2025-03-26,Chennai,pad_wear,4,dealer
R300028,P1022,SN400028,2024-01-24,Jaipur,brake_shim_wear,3,dealer
R300029,P1024,SN400029,2024-07-20,Village_C,leakage,4,customer
